month,year,quarter,line_item,department,actual,budget,prior_year
2023-08,2023,Q3,Revenue,Total,5363786.0,5346900.0,4941256.0
2023-08,2023,Q3,OpEx,Sales,1065857.0,1039502.0,
2023-08,2023,Q3,OpEx,Marketing,612675.0,601817.0,
2023-08,2023,Q3,OpEx,Engineering,1249362.0,1313055.0,
2023-08,2023,Q3,OpEx,G&A,449778.0,437685.0,
2023-08,2023,Q3,OpEx,Operations,757934.0,765949.0,
2023-09,2023,Q3,Revenue,Total,5270460.0,5382000.0,4857989.0
2023-09,2023,Q3,OpEx,Sales,1050025.0,1021415.0,
2023-09,2023,Q3,OpEx,Marketing,571043.0,591346.0,
2023-09,2023,Q3,OpEx,Engineering,1216978.0,1290209.0,
2023-09,2023,Q3,OpEx,G&A,411127.0,430070.0,
2023-09,2023,Q3,OpEx,Operations,735637.0,752622.0,
2023-10,2023,Q4,Revenue,Total,5122353.0,5417100.0,4724070.0
2023-10,2023,Q4,OpEx,Sales,1016732.0,992712.0,
2023-10,2023,Q4,OpEx,Marketing,535717.0,574728.0,
2023-10,2023,Q4,OpEx,Engineering,1236965.0,1253952.0,
2023-10,2023,Q4,OpEx,G&A,408114.0,417984.0,
2023-10,2023,Q4,OpEx,Operations,698794.0,731472.0,
2023-11,2023,Q4,Revenue,Total,4812368.0,5452200.0,4440597.0
2023-11,2023,Q4,OpEx,Sales,902589.0,932637.0,
2023-11,2023,Q4,OpEx,Marketing,557798.0,539948.0,
2023-11,2023,Q4,OpEx,Engineering,1138282.0,1178068.0,
2023-11,2023,Q4,OpEx,G&A,387710.0,392689.0,
2023-11,2023,Q4,OpEx,Operations,692146.0,687206.0,
2023-12,2023,Q4,Revenue,Total,4866763.0,5487300.0,4493195.0
2023-12,2023,Q4,OpEx,Sales,977296.0,943179.0,
2023-12,2023,Q4,OpEx,Marketing,565253.0,546051.0,
2023-12,2023,Q4,OpEx,Engineering,1141972.0,1191384.0,
2023-12,2023,Q4,OpEx,G&A,391170.0,397128.0,
2023-12,2023,Q4,OpEx,Operations,669830.0,694974.0,
2024-01,2024,Q1,Revenue,Total,4923704.0,5522400.0,4548167.0
2024-01,2024,Q1,OpEx,Sales,892524.0,954214.0,
2024-01,2024,Q1,OpEx,Marketing,550843.0,552440.0,
2024-01,2024,Q1,OpEx,Engineering,1187946.0,1205323.0,
2024-01,2024,Q1,OpEx,G&A,376432.0,401774.0,
2024-01,2024,Q1,OpEx,Operations,675981.0,703105.0,
2024-02,2024,Q1,Revenue,Total,5283037.0,5557500.0,4882639.0
2024-02,2024,Q1,OpEx,Sales,980040.0,1023853.0,
2024-02,2024,Q1,OpEx,Marketing,561340.0,592757.0,
2024-02,2024,Q1,OpEx,Engineering,1272797.0,1293287.0,
2024-02,2024,Q1,OpEx,G&A,447334.0,431096.0,
2024-02,2024,Q1,OpEx,Operations,722337.0,754418.0,
2024-03,2024,Q1,Revenue,Total,5433040.0,5592600.0,5023857.0
2024-03,2024,Q1,OpEx,Sales,1067146.0,1052923.0,
2024-03,2024,Q1,OpEx,Marketing,583375.0,609587.0,
2024-03,2024,Q1,OpEx,Engineering,1343183.0,1330008.0,
2024-03,2024,Q1,OpEx,G&A,430495.0,443336.0,
2024-03,2024,Q1,OpEx,Operations,775499.0,775838.0,
2024-04,2024,Q2,Revenue,Total,5645515.0,5627700.0,5222982.0
2024-04,2024,Q2,OpEx,Sales,1082232.0,1094101.0,
2024-04,2024,Q2,OpEx,Marketing,596124.0,633427.0,
2024-04,2024,Q2,OpEx,Engineering,1411672.0,1382022.0,
2024-04,2024,Q2,OpEx,G&A,444996.0,460674.0,
2024-04,2024,Q2,OpEx,Operations,767070.0,806180.0,
2024-05,2024,Q2,Revenue,Total,5615962.0,5662800.0,5198246.0
2024-05,2024,Q2,OpEx,Sales,1083036.0,1088373.0,
2024-05,2024,Q2,OpEx,Marketing,632911.0,630111.0,
2024-05,2024,Q2,OpEx,Engineering,1282899.0,1374787.0,
2024-05,2024,Q2,OpEx,G&A,452121.0,458262.0,
2024-05,2024,Q2,OpEx,Operations,766512.0,801959.0,
2024-06,2024,Q2,Revenue,Total,5913325.0,5697900.0,5476200.0
2024-06,2024,Q2,OpEx,Sales,1088905.0,1146002.0,
2024-06,2024,Q2,OpEx,Marketing,667380.0,663475.0,
2024-06,2024,Q2,OpEx,Engineering,1408612.0,1447582.0,
2024-06,2024,Q2,OpEx,G&A,498158.0,482527.0,
2024-06,2024,Q2,OpEx,Operations,798996.0,844423.0,
2024-07,2024,Q3,Revenue,Total,5790924.0,5733000.0,5365468.0
2024-07,2024,Q3,OpEx,Sales,1058996.0,1122281.0,
2024-07,2024,Q3,OpEx,Marketing,669945.0,649742.0,
2024-07,2024,Q3,OpEx,Engineering,1716261.0,1672789.0,
2024-07,2024,Q3,OpEx,G&A,453255.0,472539.0,
2024-07,2024,Q3,OpEx,Operations,829050.0,826944.0,
2024-08,2024,Q3,Revenue,Total,5849627.0,5768100.0,5422474.0
2024-08,2024,Q3,OpEx,Sales,1123735.0,1133658.0,
2024-08,2024,Q3,OpEx,Marketing,648775.0,656328.0,
2024-08,2024,Q3,OpEx,Engineering,1617856.0,1689747.0,
2024-08,2024,Q3,OpEx,G&A,449364.0,477330.0,
2024-08,2024,Q3,OpEx,Operations,858825.0,835327.0,
2024-09,2024,Q3,Revenue,Total,5714060.0,5803200.0,5299330.0
2024-09,2024,Q3,OpEx,Sales,1106995.0,1107385.0,
2024-09,2024,Q3,OpEx,Marketing,620560.0,641118.0,
2024-09,2024,Q3,OpEx,Engineering,1599472.0,1650586.0,
2024-09,2024,Q3,OpEx,G&A,470772.0,466267.0,
2024-09,2024,Q3,OpEx,Operations,838913.0,815968.0,
2024-10,2024,Q4,Revenue,Total,5543086.0,5838300.0,5143184.0
2024-10,2024,Q4,OpEx,Sales,1090876.0,1074250.0,
2024-10,2024,Q4,OpEx,Marketing,622314.0,621934.0,
2024-10,2024,Q4,OpEx,Engineering,1276136.0,1356947.0,
2024-10,2024,Q4,OpEx,G&A,429159.0,452316.0,
2024-10,2024,Q4,OpEx,Operations,813934.0,791553.0,
2024-11,2024,Q4,Revenue,Total,5339016.0,5873400.0,4956138.0
2024-11,2024,Q4,OpEx,Sales,964719.0,1034701.0,
2024-11,2024,Q4,OpEx,Marketing,564482.0,599038.0,
2024-11,2024,Q4,OpEx,Engineering,1310816.0,1306991.0,
2024-11,2024,Q4,OpEx,G&A,406003.0,435664.0,
2024-11,2024,Q4,OpEx,Operations,723311.0,762411.0,
2024-12,2024,Q4,Revenue,Total,5299012.0,5908500.0,4921260.0
2024-12,2024,Q4,OpEx,Sales,1033099.0,1026949.0,
2024-12,2024,Q4,OpEx,Marketing,595549.0,594549.0,
2024-12,2024,Q4,OpEx,Engineering,1239549.0,1297198.0,
2024-12,2024,Q4,OpEx,G&A,435935.0,432399.0,
2024-12,2024,Q4,OpEx,Operations,724129.0,756699.0,
